titles,summaries,terms
Modern Convex Optimization to Medical Image Analysis,"Recently, diagnosis, therapy and monitoring of human diseases involve a
variety of imaging modalities, such as magnetic resonance imaging(MRI),
computed tomography(CT), Ultrasound(US) and Positron-emission tomography(PET)
as well as a variety of modern optical techniques. Over the past two decade, it
has been recognized that advanced image processing techniques provide valuable
information to physicians for diagnosis, image guided therapy and surgery, and
monitoring of the treated organ to the therapy. Many researchers and companies
have invested significant efforts in the developments of advanced medical image
analysis methods; especially in the two core studies of medical image
segmentation and registration, segmentations of organs and lesions are used to
quantify volumes and shapes used in diagnosis and monitoring treatment;
registration of multimodality images of organs improves detection, diagnosis
and staging of diseases as well as image-guided surgery and therapy,
registration of images obtained from the same modality are used to monitor
progression of therapy. These challenging clinical-motivated applications
introduce novel and sophisticated mathematical problems which stimulate
developments of advanced optimization and computing methods, especially convex
optimization attaining optimum in a global sense, hence, bring an enormous
spread of research topics for recent computational medical image analysis.
Particularly, distinct from the usual image processing, most medical images
have a big volume of acquired data, often in 3D or 4D (3D + t) along with great
noises or incomplete image information, and form the challenging large-scale
optimization problems; how to process such poor 'big data' of medical images
efficiently and solve the corresponding optimization problems robustly are the
key factors of modern medical image analysis.",['cs.CV']
Recent progress in semantic image segmentation,"Semantic image segmentation, which becomes one of the key applications in
image processing and computer vision domain, has been used in multiple domains
such as medical area and intelligent transportation. Lots of benchmark datasets
are released for researchers to verify their algorithms. Semantic segmentation
has been studied for many years. Since the emergence of Deep Neural Network
(DNN), segmentation has made a tremendous progress. In this paper, we divide
semantic image segmentation methods into two categories: traditional and recent
DNN method. Firstly, we briefly summarize the traditional method as well as
datasets released for segmentation, then we comprehensively investigate recent
methods based on DNN which are described in the eight aspects: fully
convolutional network, upsample ways, FCN joint with CRF methods, dilated
convolution approaches, progresses in backbone network, pyramid methods,
Multi-level feature and multi-stage method, supervised, weakly-supervised and
unsupervised methods. Finally, a conclusion in this area is drawn.",['cs.CV']
Mask Editor : an Image Annotation Tool for Image Segmentation Tasks,"Deep convolutional neural network (DCNN) is the state-of-the-art method for
image segmentation, which is one of key challenging computer vision tasks.
However, DCNN requires a lot of training images with corresponding image masks
to get a good segmentation result. Image annotation software which is easy to
use and allows fast image mask generation is in great demand. To the best of
our knowledge, all existing image annotation software support only drawing
bounding polygons, bounding boxes, or bounding ellipses to mark target objects.
These existing software are inefficient when targeting objects that have
irregular shapes (e.g., defects in fabric images or tire images). In this paper
we design an easy-to-use image annotation software called Mask Editor for image
mask generation. Mask Editor allows drawing any bounding curve to mark objects
and improves efficiency to mark objects with irregular shapes. Mask Editor also
supports drawing bounding polygons, drawing bounding boxes, drawing bounding
ellipses, painting, erasing, super-pixel-marking, image cropping, multi-class
masks, mask loading, and mask modifying.",['cs.CV']
A Time Series Graph Cut Image Segmentation Scheme for Liver Tumors,"Tumor detection in biomedical imaging is a time-consuming process for medical
professionals and is not without errors. Thus in recent decades, researchers
have developed algorithmic techniques for image processing using a wide variety
of mathematical methods, such as statistical modeling, variational techniques,
and machine learning. In this paper, we propose a semi-automatic method for
liver segmentation of 2D CT scans into three labels denoting healthy, vessel,
or tumor tissue based on graph cuts. First, we create a feature vector for each
pixel in a novel way that consists of the 59 intensity values in the time
series data and propose a simplified perimeter cost term in the energy
functional. We normalize the data and perimeter terms in the functional to
expedite the graph cut without having to optimize the scaling parameter
$\lambda$. In place of a training process, predetermined tissue means are
computed based on sample regions identified by expert radiologists. The
proposed method also has the advantage of being relatively simple to implement
computationally. It was evaluated against the ground truth on a clinical CT
dataset of 10 tumors and yielded segmentations with a mean Dice similarity
coefficient (DSC) of .77 and mean volume overlap error (VOE) of 36.7%. The
average processing time was 1.25 minutes per slice.",['cs.CV']
Searching for Efficient Multi-Scale Architectures for Dense Image Prediction,"The design of neural network architectures is an important component for
achieving state-of-the-art performance with machine learning systems across a
broad array of tasks. Much work has endeavored to design and build
architectures automatically through clever construction of a search space
paired with simple learning algorithms. Recent progress has demonstrated that
such meta-learning methods may exceed scalable human-invented architectures on
image classification tasks. An open question is the degree to which such
methods may generalize to new domains. In this work we explore the construction
of meta-learning techniques for dense image prediction focused on the tasks of
scene parsing, person-part segmentation, and semantic image segmentation.
Constructing viable search spaces in this domain is challenging because of the
multi-scale representation of visual information and the necessity to operate
on high resolution imagery. Based on a survey of techniques in dense image
prediction, we construct a recursive search space and demonstrate that even
with efficient random search, we can identify architectures that outperform
human-invented architectures and achieve state-of-the-art performance on three
dense prediction tasks including 82.7\% on Cityscapes (street scene parsing),
71.3\% on PASCAL-Person-Part (person-part segmentation), and 87.9\% on PASCAL
VOC 2012 (semantic image segmentation). Additionally, the resulting
architecture is more computationally efficient, requiring half the parameters
and half the computational cost as previous state of the art systems.","['cs.CV', 'cs.LG', 'stat.ML']"
Unbiasing Semantic Segmentation For Robot Perception using Synthetic Data Feature Transfer,"Robot perception systems need to perform reliable image segmentation in
real-time on noisy, raw perception data. State-of-the-art segmentation
approaches use large CNN models and carefully constructed datasets; however,
these models focus on accuracy at the cost of real-time inference. Furthermore,
the standard semantic segmentation datasets are not large enough for training
CNNs without augmentation and are not representative of noisy, uncurated robot
perception data. We propose improving the performance of real-time segmentation
frameworks on robot perception data by transferring features learned from
synthetic segmentation data. We show that pretraining real-time segmentation
architectures with synthetic segmentation data instead of ImageNet improves
fine-tuning performance by reducing the bias learned in pretraining and closing
the \textit{transfer gap} as a result. Our experiments show that our real-time
robot perception models pretrained on synthetic data outperform those
pretrained on ImageNet for every scale of fine-tuning data examined. Moreover,
the degree to which synthetic pretraining outperforms ImageNet pretraining
increases as the availability of robot data decreases, making our approach
attractive for robotics domains where dataset collection is hard and/or
expensive.","['cs.CV', 'cs.RO']"
Interactive Binary Image Segmentation with Edge Preservation,"Binary image segmentation plays an important role in computer vision and has
been widely used in many applications such as image and video editing, object
extraction, and photo composition. In this paper, we propose a novel
interactive binary image segmentation method based on the Markov Random Field
(MRF) framework and the fast bilateral solver (FBS) technique. Specifically, we
employ the geodesic distance component to build the unary term. To ensure both
computation efficiency and effective responsiveness for interactive
segmentation, superpixels are used in computing geodesic distances instead of
pixels. Furthermore, we take a bilateral affinity approach for the pairwise
term in order to preserve edge information and denoise. Through the alternating
direction strategy, the MRF energy minimization problem is divided into two
subproblems, which then can be easily solved by steepest gradient descent (SGD)
and FBS respectively. Experimental results on the VGG interactive image
segmentation dataset show that the proposed algorithm outperforms several
state-of-the-art ones, and in particular, it can achieve satisfactory
edge-smooth segmentation results even when the foreground and background color
appearances are quite indistinctive.",['cs.CV']
Computation of Total Kidney Volume from CT images in Autosomal Dominant Polycystic Kidney Disease using Multi-Task 3D Convolutional Neural Networks,"Autosomal Dominant Polycystic Kidney Disease (ADPKD) characterized by
progressive growth of renal cysts is the most prevalent and potentially lethal
monogenic renal disease, affecting one in every 500-100 people. Total Kidney
Volume (TKV) and its growth computed from Computed Tomography images has been
accepted as an essential prognostic marker for renal function loss. Due to
large variation in shape and size of kidney in ADPKD, existing methods to
compute TKV (i.e. to segment ADKP) including those based on 2D convolutional
neural networks are not accurate enough to be directly useful in clinical
practice. In this work, we propose multi-task 3D Convolutional Neural Networks
to segment ADPK and achieve a mean DICE score of 0.95 and mean absolute
percentage TKV error of 3.86. Additionally, to solve the challenge of class
imbalance, we propose to simply bootstrap cross entropy loss and compare
results with recently prevalent dice loss in medical image segmentation
community.",['cs.CV']
YouTube-VOS: A Large-Scale Video Object Segmentation Benchmark,"Learning long-term spatial-temporal features are critical for many video
analysis tasks. However, existing video segmentation methods predominantly rely
on static image segmentation techniques, and methods capturing temporal
dependency for segmentation have to depend on pretrained optical flow models,
leading to suboptimal solutions for the problem. End-to-end sequential learning
to explore spatialtemporal features for video segmentation is largely limited
by the scale of available video segmentation datasets, i.e., even the largest
video segmentation dataset only contains 90 short video clips. To solve this
problem, we build a new large-scale video object segmentation dataset called
YouTube Video Object Segmentation dataset (YouTube-VOS). Our dataset contains
4,453 YouTube video clips and 94 object categories. This is by far the largest
video object segmentation dataset to our knowledge and has been released at
http://youtube-vos.org. We further evaluate several existing state-of-the-art
video object segmentation algorithms on this dataset which aims to establish
baselines for the development of new algorithms in the future.","['cs.CV', 'cs.AI']"
Retinal Vessel Segmentation under Extreme Low Annotation: A Generative Adversarial Network Approach,"Contemporary deep learning based medical image segmentation algorithms
require hours of annotation labor by domain experts. These data hungry deep
models perform sub-optimally in the presence of limited amount of labeled data.
In this paper, we present a data efficient learning framework using the recent
concept of Generative Adversarial Networks; this allows a deep neural network
to perform significantly better than its fully supervised counterpart in low
annotation regime. The proposed method is an extension of our previous work
with the addition of a new unsupervised adversarial loss and a structured
prediction based architecture. To the best of our knowledge, this work is the
first demonstration of an adversarial framework based structured prediction
model for medical image segmentation. Though generic, we apply our method for
segmentation of blood vessels in retinal fundus images. We experiment with
extreme low annotation budget (0.8 - 1.6% of contemporary annotation size). On
DRIVE and STARE datasets, the proposed method outperforms our previous method
and other fully supervised benchmark models by significant margins especially
with very low number of annotated examples. In addition, our systematic
ablation studies suggest some key recipes for successfully training GAN based
semi-supervised algorithms with an encoder-decoder style network architecture.",['cs.CV']
Iris recognition in cases of eye pathology,"This chapter provides insight on how iris recognition, one of the leading
biometric identification technologies in the world, can be impacted by
pathologies and illnesses present in the eye, what are the possible
repercussions of this influence, and what are the possible means for taking
such effects into account when matching iris samples.
  To make this study possible, a special database of iris images has been used,
representing more than 20 different medical conditions of the ocular region
(including cataract, glaucoma, rubeosis iridis, synechiae, iris defects,
corneal pathologies and other) and containing almost 3000 samples collected
from 230 distinct irises. Then, with the use of four different iris recognition
methods, a series of experiments has been conducted, concluding in several
important observations.
  One of the most popular ocular disorders worldwide - the cataract - is shown
to worsen genuine comparison scores when results obtained from
cataract-affected eyes are compared to those coming from healthy irises. An
analysis devoted to different types of impact on eye structures caused by
diseases is also carried out with significant results. The enrollment process
is highly sensitive to those eye conditions that make the iris obstructed or
introduce geometrical distortions. Disorders affecting iris geometry, or
producing obstructions are exceptionally capable of degrading the genuine
comparison scores, so that the performance of the entire biometric system can
be influenced. Experiments also reveal that imperfect execution of the image
segmentation stage is the most prominent contributor to recognition errors.",['cs.CV']
Image Segmentation with Pseudo-marginal MCMC Sampling and Nonparametric Shape Priors,"In this paper, we propose an efficient pseudo-marginal Markov chain Monte
Carlo (MCMC) sampling approach to draw samples from posterior shape
distributions for image segmentation. The computation time of the proposed
approach is independent from the size of the training set used to learn the
shape prior distribution nonparametrically. Therefore, it scales well for very
large data sets. Our approach is able to characterize the posterior probability
density in the space of shapes through its samples, and to return multiple
solutions, potentially from different modes of a multimodal probability
density, which would be encountered, e.g., in segmenting objects from multiple
shape classes. Experimental results demonstrate the potential of the proposed
approach.",['cs.CV']
YouTube-VOS: Sequence-to-Sequence Video Object Segmentation,"Learning long-term spatial-temporal features are critical for many video
analysis tasks. However, existing video segmentation methods predominantly rely
on static image segmentation techniques, and methods capturing temporal
dependency for segmentation have to depend on pretrained optical flow models,
leading to suboptimal solutions for the problem. End-to-end sequential learning
to explore spatial-temporal features for video segmentation is largely limited
by the scale of available video segmentation datasets, i.e., even the largest
video segmentation dataset only contains 90 short video clips. To solve this
problem, we build a new large-scale video object segmentation dataset called
YouTube Video Object Segmentation dataset (YouTube-VOS). Our dataset contains
3,252 YouTube video clips and 78 categories including common objects and human
activities. This is by far the largest video object segmentation dataset to our
knowledge and we have released it at https://youtube-vos.org. Based on this
dataset, we propose a novel sequence-to-sequence network to fully exploit
long-term spatial-temporal information in videos for segmentation. We
demonstrate that our method is able to achieve the best results on our
YouTube-VOS test set and comparable results on DAVIS 2016 compared to the
current state-of-the-art methods. Experiments show that the large scale dataset
is indeed a key factor to the success of our model.",['cs.CV']
Iris Recognition with a Database of Iris Images Obtained in Visible Light Using Smartphone Camera,"This paper delivers a new database of iris images collected in visible light
using a mobile phone's camera and presents results of experiments involving
existing commercial and open-source iris recognition methods, namely: IriCore,
VeriEye, MIRLIN and OSIRIS. Several important observations are made.
  First, we manage to show that after simple preprocessing, such images offer
good visibility of iris texture even in heavily-pigmented irides. Second, for
all four methods, the enrollment stage is not much affected by the fact that
different type of data is used as input. This translates to zero or
close-to-zero Failure To Enroll, i.e., cases when templates could not be
extracted from the samples. Third, we achieved good matching accuracy, with
correct genuine match rate exceeding 94.5% for all four methods, while
simultaneously being able to maintain zero false match rate in every case.
Correct genuine match rate of over 99.5% was achieved using one of the
commercial methods, showing that such images can be used with the existing
biometric solutions with minimum additional effort required. Finally, the
experiments revealed that incorrect image segmentation is the most prevalent
cause of recognition accuracy decrease.
  To our best knowledge, this is the first database of iris images captured
using a mobile device, in which image quality exceeds this of a near-infrared
illuminated iris images, as defined in ISO/IEC 19794-6 and 29794-6 documents.
This database will be publicly available to all researchers.",['cs.CV']
Cataract influence on iris recognition performance,"This paper presents the experimental study revealing weaker performance of
the automatic iris recognition methods for cataract-affected eyes when compared
to healthy eyes. There is little research on the topic, mostly incorporating
scarce databases that are often deficient in images representing more than one
illness. We built our own database, acquiring 1288 eye images of 37 patients of
the Medical University of Warsaw. Those images represent several common ocular
diseases, such as cataract, along with less ordinary conditions, such as iris
pattern alterations derived from illness or eye trauma. Images were captured in
near-infrared light (used in biometrics) and for selected cases also in visible
light (used in ophthalmological diagnosis). Since cataract is a disorder that
is most populated by samples in the database, in this paper we focus solely on
this illness. To assess the extent of the performance deterioration we use
three iris recognition methodologies (commercial and academic solutions) to
calculate genuine match scores for healthy eyes and those influenced by
cataract. Results show a significant degradation in iris recognition
reliability manifesting by worsening the genuine scores in all three matchers
used in this study (12% of genuine score increase for an academic matcher, up
to 175% of genuine score increase obtained for an example commercial matcher).
This increase in genuine scores affected the final false non-match rate in two
matchers. To our best knowledge this is the only study of such kind that
employs more than one iris matcher, and analyzes the iris image segmentation as
a potential source of decreased reliability.",['cs.CV']
A Simplified Approach to Deep Learning for Image Segmentation,"Leaping into the rapidly developing world of deep learning is an exciting and
sometimes confusing adventure. All of the advice and tutorials available can be
hard to organize and work through, especially when training specific models on
specific datasets, different from those originally used to train the network.
In this short guide, we aim to walk the reader through the techniques that we
have used to successfully train two deep neural networks for pixel-wise
classification, including some data management and augmentation approaches for
working with image data that may be insufficiently annotated or relatively
homogenous.",['cs.CV']
Understanding Neural Pathways in Zebrafish through Deep Learning and High Resolution Electron Microscope Data,"The tracing of neural pathways through large volumes of image data is an
incredibly tedious and time-consuming process that significantly encumbers
progress in neuroscience. We are exploring deep learning's potential to
automate segmentation of high-resolution scanning electron microscope (SEM)
image data to remove that barrier. We have started with neural pathway tracing
through 5.1GB of whole-brain serial-section slices from larval zebrafish
collected by the Center for Brain Science at Harvard University. This kind of
manual image segmentation requires years of careful work to properly trace the
neural pathways in an organism as small as a zebrafish larva (approximately 5mm
in total body length). In automating this process, we would vastly improve
productivity, leading to faster data analysis and breakthroughs in
understanding the complexity of the brain. We will build upon prior attempts to
employ deep learning for automatic image segmentation extending methods for
unconventional deep learning data.",['cs.CV']
Document Image Classification with Intra-Domain Transfer Learning and Stacked Generalization of Deep Convolutional Neural Networks,"In this work, a region-based Deep Convolutional Neural Network framework is
proposed for document structure learning. The contribution of this work
involves efficient training of region based classifiers and effective
ensembling for document image classification. A primary level of `inter-domain'
transfer learning is used by exporting weights from a pre-trained VGG16
architecture on the ImageNet dataset to train a document classifier on whole
document images. Exploiting the nature of region based influence modelling, a
secondary level of `intra-domain' transfer learning is used for rapid training
of deep learning models for image segments. Finally, stacked generalization
based ensembling is utilized for combining the predictions of the base deep
neural network models. The proposed method achieves state-of-the-art accuracy
of 92.2% on the popular RVL-CDIP document image dataset, exceeding benchmarks
set by existing algorithms.","['cs.CV', 'cs.LG']"
TreeSegNet: Adaptive Tree CNNs for Subdecimeter Aerial Image Segmentation,"For the task of subdecimeter aerial imagery segmentation, fine-grained
semantic segmentation results are usually difficult to obtain because of
complex remote sensing content and optical conditions. Recently, convolutional
neural networks (CNNs) have shown outstanding performance on this task.
Although many deep neural network structures and techniques have been applied
to improve the accuracy, few have paid attention to better differentiating the
easily confused classes. In this paper, we propose TreeSegNet which adopts an
adaptive network to increase the classification rate at the pixelwise level.
Specifically, based on the infrastructure of DeepUNet, a Tree-CNN block in
which each node represents a ResNeXt unit is constructed adaptively according
to the confusion matrix and the proposed TreeCutting algorithm. By transporting
feature maps through concatenating connections, the Tree-CNN block fuses
multiscale features and learns best weights for the model. In experiments on
the ISPRS 2D semantic labeling Potsdam dataset, the results obtained by
TreeSegNet are better than those of other published state-of-the-art methods.
Detailed comparison and analysis show that the improvement brought by the
adaptive Tree-CNN block is significant.",['cs.CV']
Segmentation of Microscopy Data for finding Nuclei in Divergent Images,"Every year millions of people die due to disease of Cancer. Due to its
invasive nature it is very complex to cure even in primary stages. Hence, only
method to survive this disease completely is via forecasting by analyzing the
early mutation in cells of the patient biopsy. Cell Segmentation can be used to
find cell which have left their nuclei. This enables faster cure and high rate
of survival. Cell counting is a hard, yet tedious task that would greatly
benefit from automation. To accomplish this task, segmentation of cells need to
be accurate. In this paper, we have improved the learning of training data by
our network. It can annotate precise masks on test data. we examine the
strength of activation functions in medical image segmentation task by
improving learning rates by our proposed Carving Technique. Identifying the
cells nuclei is the starting point for most analyses, identifying nuclei allows
researchers to identify each individual cell in a sample, and by measuring how
cells react to various treatments, the researcher can understand the underlying
biological processes at work. Experimental results shows the efficiency of the
proposed work.","['cs.CV', 'cs.LG']"
Encoder-Decoder with Atrous Separable Convolution for Semantic Image Segmentation,"Spatial pyramid pooling module or encode-decoder structure are used in deep
neural networks for semantic segmentation task. The former networks are able to
encode multi-scale contextual information by probing the incoming features with
filters or pooling operations at multiple rates and multiple effective
fields-of-view, while the latter networks can capture sharper object boundaries
by gradually recovering the spatial information. In this work, we propose to
combine the advantages from both methods. Specifically, our proposed model,
DeepLabv3+, extends DeepLabv3 by adding a simple yet effective decoder module
to refine the segmentation results especially along object boundaries. We
further explore the Xception model and apply the depthwise separable
convolution to both Atrous Spatial Pyramid Pooling and decoder modules,
resulting in a faster and stronger encoder-decoder network. We demonstrate the
effectiveness of the proposed model on PASCAL VOC 2012 and Cityscapes datasets,
achieving the test set performance of 89.0\% and 82.1\% without any
post-processing. Our paper is accompanied with a publicly available reference
implementation of the proposed models in Tensorflow at
\url{https://github.com/tensorflow/models/tree/master/research/deeplab}.",['cs.CV']
Multi-level Activation for Segmentation of Hierarchically-nested Classes,"For many biological image segmentation tasks, including topological
knowledge, such as the nesting of classes, can greatly improve results.
However, most `out-of-the-box' CNN models are still blind to such prior
information. In this paper, we propose a novel approach to encode this
information, through a multi-level activation layer and three compatible
losses. We benchmark all of them on nuclei segmentation in bright-field
microscopy cell images from the 2018 Data Science Bowl challenge, offering an
exemplary segmentation task with cells and nested subcellular structures. Our
scheme greatly speeds up learning, and outperforms standard multi-class
classification with soft-max activation and a previously proposed method
stemming from it, improving the Dice score significantly (p-values<0.007). Our
approach is conceptually simple, easy to implement and can be integrated in any
CNN architecture. It can be generalized to a higher number of classes, with or
without further relations of containment.",['cs.CV']
Weakly-Supervised Learning-Based Feature Localization in Confocal Laser Endomicroscopy Glioma Images,"Confocal Laser Endomicroscope (CLE) is a novel handheld fluorescence imaging
device that has shown promise for rapid intraoperative diagnosis of brain tumor
tissue. Currently CLE is capable of image display only and lacks an automatic
system to aid the surgeon in analyzing the images. The goal of this project was
to develop a computer-aided diagnostic approach for CLE imaging of human glioma
with feature localization function. Despite the tremendous progress in object
detection and image segmentation methods in recent years, most of such methods
require large annotated datasets for training. However, manual annotation of
thousands of histopathological images by physicians is costly and time
consuming. To overcome this problem, we propose a Weakly-Supervised Learning
(WSL)-based model for feature localization that trains on image-level
annotations, and then localizes incidences of a class-of-interest in the test
image. We developed a novel convolutional neural network for diagnostic
features localization from CLE images by employing a novel multiscale
activation map that is laterally inhibited and collaterally integrated. To
validate our method, we compared proposed model's output to the manual
annotation performed by four neurosurgeons on test images. Proposed model
achieved 88% mean accuracy and 86% mean intersection over union on intermediate
features and 87% mean accuracy and 88% mean intersection over union on
restrictive fine features, while outperforming other state of the art methods
tested. This system can improve accuracy and efficiency in characterization of
CLE images of glioma tissue during surgery, augment intraoperative
decision-making process regarding tumor margin and affect resection rates.",['cs.CV']
Concept Mask: Large-Scale Segmentation from Semantic Concepts,"Existing works on semantic segmentation typically consider a small number of
labels, ranging from tens to a few hundreds. With a large number of labels,
training and evaluation of such task become extremely challenging due to
correlation between labels and lack of datasets with complete annotations. We
formulate semantic segmentation as a problem of image segmentation given a
semantic concept, and propose a novel system which can potentially handle an
unlimited number of concepts, including objects, parts, stuff, and attributes.
We achieve this using a weakly and semi-supervised framework leveraging
multiple datasets with different levels of supervision. We first train a deep
neural network on a 6M stock image dataset with only image-level labels to
learn visual-semantic embedding on 18K concepts. Then, we refine and extend the
embedding network to predict an attention map, using a curated dataset with
bounding box annotations on 750 concepts. Finally, we train an attention-driven
class agnostic segmentation network using an 80-category fully annotated
dataset. We perform extensive experiments to validate that the proposed system
performs competitively to the state of the art on fully supervised concepts,
and is capable of producing accurate segmentations for weakly learned and
unseen concepts.",['cs.CV']
Holographic Visualisation of Radiology Data and Automated Machine Learning-based Medical Image Segmentation,"Within this thesis we propose a platform for combining Augmented Reality (AR)
hardware with machine learning in a user-oriented pipeline, offering to the
medical staff an intuitive 3D visualization of volumetric Computed Tomography
(CT) and Magnetic Resonance Imaging (MRI) medical image segmentations inside
the AR headset, that does not need human intervention for loading, processing
and segmentation of medical images. The AR visualization, based on Microsoft
HoloLens, employs a modular and thus scalable frontend-backend architecture for
real-time visualizations on multiple AR headsets. As Convolutional Neural
Networks (CNNs) have lastly demonstrated superior performance for the machine
learning task of image semantic segmentation, the pipeline also includes a
fully automated CNN algorithm for the segmentation of the liver from CT scans.
The model is based on the Deep Retinal Image Understanding (DRIU) model which
is a Fully Convolutional Network with side outputs from feature maps with
different resolution, extracted at different stages of the network. The
algorithm is 2.5D which means that the input is a set of consecutive scan
slices. The experiments have been performed on the Liver Tumor Segmentation
Challenge (LiTS) dataset for liver segmentation and demonstrated good results
and flexibility. While multiple approaches exist in the domain, only few of
them have focused on overcoming the practical aspects which still largely hold
this technology away from the operating rooms. In line with this, we also are
next planning an evaluation from medical doctors and radiologists in a
real-world environment.","['cs.CV', 'cs.LG']"
Unsupervised learning of foreground object detection,"Unsupervised learning poses one of the most difficult challenges in computer
vision today. The task has an immense practical value with many applications in
artificial intelligence and emerging technologies, as large quantities of
unlabeled videos can be collected at relatively low cost. In this paper, we
address the unsupervised learning problem in the context of detecting the main
foreground objects in single images. We train a student deep network to predict
the output of a teacher pathway that performs unsupervised object discovery in
videos or large image collections. Our approach is different from published
methods on unsupervised object discovery. We move the unsupervised learning
phase during training time, then at test time we apply the standard
feed-forward processing along the student pathway. This strategy has the
benefit of allowing increased generalization possibilities during training,
while remaining fast at testing. Our unsupervised learning algorithm can run
over several generations of student-teacher training. Thus, a group of student
networks trained in the first generation collectively create the teacher at the
next generation. In experiments our method achieves top results on three
current datasets for object discovery in video, unsupervised image segmentation
and saliency detection. At test time the proposed system is fast, being one to
two orders of magnitude faster than published unsupervised methods.",['cs.CV']
An Iterative Boundary Random Walks Algorithm for Interactive Image Segmentation,"The interactive image segmentation algorithm can provide an intelligent ways
to understand the intention of user input. Many interactive methods have the
problem of that ask for large number of user input. To efficient produce
intuitive segmentation under limited user input is important for industrial
application. In this paper, we reveal a positive feedback system on image
segmentation to show the pixels of self-learning. Two approaches, iterative
random walks and boundary random walks, are proposed for segmentation
potential, which is the key step in feedback system. Experiment results on
image segmentation indicates that proposed algorithms can obtain more efficient
input to random walks. And higher segmentation performance can be obtained by
applying the iterative boundary random walks algorithm.",['cs.CV']
Dilated Convolutions in Neural Networks for Left Atrial Segmentation in 3D Gadolinium Enhanced-MRI,"Segmentation of the left atrial chamber and assessing its morphology, are
essential for improving our understanding of atrial fibrillation, the most
common type of cardiac arrhythmia. Automation of this process in 3D gadolinium
enhanced-MRI (GE-MRI) data is desirable, as manual delineation is
time-consuming, challenging and observer-dependent. Recently, deep
convolutional neural networks (CNNs) have gained tremendous traction and
achieved state-of-the-art results in medical image segmentation. However, it is
difficult to incorporate local and global information without using contracting
(pooling) layers, which in turn reduces segmentation accuracy for smaller
structures. In this paper, we propose a 3D CNN for volumetric segmentation of
the left atrial chamber in LGE-MRI. Our network is based on the well known
U-Net architecture. We employ a 3D fully convolutional network, with dilated
convolutions in the lowest level of the network, and residual connections
between encoder blocks to incorporate local and global knowledge. The results
show that including global context through the use of dilated convolutions,
helps in domain adaptation, and the overall segmentation accuracy is improved
in comparison to a 3D U-Net.",['cs.CV']
A 3D Coarse-to-Fine Framework for Volumetric Medical Image Segmentation,"In this paper, we adopt 3D Convolutional Neural Networks to segment
volumetric medical images. Although deep neural networks have been proven to be
very effective on many 2D vision tasks, it is still challenging to apply them
to 3D tasks due to the limited amount of annotated 3D data and limited
computational resources. We propose a novel 3D-based coarse-to-fine framework
to effectively and efficiently tackle these challenges. The proposed 3D-based
framework outperforms the 2D counterpart to a large margin since it can
leverage the rich spatial infor- mation along all three axes. We conduct
experiments on two datasets which include healthy and pathological pancreases
respectively, and achieve the current state-of-the-art in terms of
Dice-S{\o}rensen Coefficient (DSC). On the NIH pancreas segmentation dataset,
we outperform the previous best by an average of over 2%, and the worst case is
improved by 7% to reach almost 70%, which indicates the reliability of our
framework in clinical applications.",['cs.CV']
Neural Multi-Atlas Label Fusion: Application to Cardiac MR Images,"Multi-atlas segmentation approach is one of the most widely-used image
segmentation techniques in biomedical applications. There are two major
challenges in this category of methods, i.e., atlas selection and label fusion.
In this paper, we propose a novel multi-atlas segmentation method that
formulates multi-atlas segmentation in a deep learning framework for better
solving these challenges. The proposed method, dubbed deep fusion net (DFN), is
a deep architecture that integrates a feature extraction subnet and a non-local
patch-based label fusion (NL-PLF) subnet in a single network. The network
parameters are learned by end-to-end training for automatically learning deep
features that enable optimal performance in a NL-PLF framework. The learned
deep features are further utilized in defining a similarity measure for atlas
selection. By evaluating on two public cardiac MR datasets of SATA-13 and LV-09
for left ventricle segmentation, our approach achieved 0.833 in averaged Dice
metric (ADM) on SATA-13 dataset and 0.95 in ADM for epicardium segmentation on
LV-09 dataset, comparing favorably with the other automatic left ventricle
segmentation methods. We also tested our approach on Cardiac Atlas Project
(CAP) testing set of MICCAI 2013 SATA Segmentation Challenge, and our method
achieved 0.815 in ADM, ranking highest at the time of writing.",['cs.CV']
A Network Structure to Explicitly Reduce Confusion Errors in Semantic Segmentation,"Confusing classes that are ubiquitous in real world often degrade performance
for many vision related applications like object detection, classification, and
segmentation. The confusion errors are not only caused by similar visual
patterns but also amplified by various factors during the training of our
designed models, such as reduced feature resolution in the encoding process or
imbalanced data distributions. A large amount of deep learning based network
structures has been proposed in recent years to deal with these individual
factors and improve network performance. However, to our knowledge, no existing
work in semantic image segmentation is designed to tackle confusion errors
explicitly. In this paper, we present a novel and general network structure
that reduces confusion errors in more direct manner and apply the network for
semantic segmentation. There are two major contributions in our network
structure: 1) We ensemble subnets with heterogeneous output spaces based on the
discriminative confusing groups. The training for each subnet can distinguish
confusing classes within the group without affecting unrelated classes outside
the group. 2) We propose an improved cross-entropy loss function that maximizes
the probability assigned to the correct class and penalizes the probabilities
assigned to the confusing classes at the same time. Our network structure is a
general structure and can be easily adapted to any other networks to further
reduce confusion errors. Without any changes in the feature encoder and
post-processing steps, our experiments demonstrate consistent and significant
improvements on different baseline models on Cityscapes and PASCAL VOC datasets
(e.g., 3.05% over ResNet-101 and 1.30% over ResNet-38).",['cs.CV']
